,location,date,p_scores_all_ages,p_scores_15_64,p_scores_65_74,p_scores_75_84,p_scores_85plus,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2021_all_ages,time,time_unit
2835,United States,2020-01-05,-0.29,1.52,2.39,0.89,-4.07,60163.0,60340.4,61731.0,55784.0,59760.0,66129.0,58298.0,,,,59430.0,53269.0,,1,weekly
2836,United States,2020-01-12,0.03,1.25,3.65,0.87,-3.61,60717.0,60696.4,61135.0,55523.0,60975.0,67491.0,58358.0,,,,60790.0,55617.0,,2,weekly
2837,United States,2020-01-19,0.26,2.86,3.13,0.05,-3.18,59344.0,59188.8,58622.0,55178.0,59286.0,64641.0,58217.0,,,,59159.0,54569.0,,3,weekly
2838,United States,2020-01-26,1.41,3.16,5.25,2.69,-3.08,59141.0,58318.4,57264.0,55602.0,58045.0,62777.0,57904.0,,,,57843.0,54077.0,,4,weekly
2839,United States,2020-02-02,1.48,1.54,5.34,2.04,-1.09,58802.0,57943.0,57277.0,54891.0,58426.0,60972.0,58149.0,,,,56345.0,53950.0,,5,weekly
2840,United States,2020-02-09,2.3,3.27,4.93,4.06,-1.28,59368.0,58035.6,56413.0,55103.0,59036.0,61107.0,58519.0,,,,55683.0,53387.0,,6,weekly
2841,United States,2020-02-16,1.93,2.25,5.57,4.18,-1.97,58785.0,57673.4,56342.0,55781.0,58473.0,59774.0,57997.0,,,,54418.0,53805.0,,7,weekly
2842,United States,2020-02-23,3.41,4.3,6.47,5.33,0.0,58860.0,56919.4,55659.0,54862.0,58282.0,57790.0,58004.0,,,,53468.0,52634.0,,8,weekly
2843,United States,2020-03-01,4.54,3.28,8.99,7.33,0.85,59274.0,56700.6,55724.0,55871.0,57250.0,56690.0,57968.0,,,,53049.0,51669.0,,9,weekly
2844,United States,2020-03-08,4.83,4.2,9.28,7.76,0.89,59639.0,56893.4,55262.0,56106.0,57468.0,57089.0,58542.0,,,,53332.0,52052.0,,10,weekly
2845,United States,2020-03-15,4.86,3.38,10.82,6.97,1.45,58636.0,55917.6,54253.0,54452.0,56650.0,56317.0,57916.0,,,,53016.0,51774.0,,11,weekly
2846,United States,2020-03-22,6.5,6.46,11.77,10.77,0.66,59166.0,55556.0,53229.0,54660.0,57041.0,55758.0,57092.0,,,,52068.0,51381.0,,12,weekly
2847,United States,2020-03-29,14.85,13.47,17.65,19.54,11.72,62976.0,54831.6,52999.0,53879.0,55695.0,54913.0,56672.0,,,,51788.0,50848.0,,13,weekly
2848,United States,2020-04-05,31.95,28.42,39.48,37.41,27.77,72251.0,54756.6,52690.0,54059.0,55153.0,55285.0,56596.0,,,,51322.0,50740.0,,14,weekly
2849,United States,2020-04-12,45.37,38.46,54.13,51.38,43.02,79048.0,54378.0,52839.0,53484.0,54858.0,55223.0,55486.0,,,,50842.0,50520.0,,15,weekly
2850,United States,2020-04-19,44.09,32.82,49.51,50.32,47.41,76745.0,53261.6,51603.0,53144.0,53067.0,54031.0,54463.0,,,,49531.0,49732.0,,16,weekly
2851,United States,2020-04-26,40.35,32.95,42.24,46.05,42.72,73866.0,52628.0,51457.0,51020.0,53289.0,53719.0,53655.0,,,,48348.0,49741.0,,17,weekly
2852,United States,2020-05-03,31.52,24.54,38.43,34.6,32.54,69255.0,52657.8,51651.0,51266.0,52653.0,53734.0,53985.0,,,,48353.0,49587.0,,18,weekly
2853,United States,2020-05-10,28.79,26.19,35.14,32.49,25.85,66771.0,51843.4,50667.0,50992.0,51981.0,52101.0,53476.0,,,,47909.0,50314.0,,19,weekly
2854,United States,2020-05-17,25.64,23.78,30.81,27.36,24.03,64438.0,51289.8,49324.0,50461.0,52476.0,50617.0,53571.0,,,,47334.0,47925.0,,20,weekly
2855,United States,2020-05-24,20.36,23.08,25.33,20.63,15.96,61571.0,51155.4,49713.0,50487.0,50965.0,50923.0,53689.0,,,,47283.0,48592.0,,21,weekly
2856,United States,2020-05-31,17.5,17.73,25.1,19.82,12.2,59629.0,50749.6,49033.0,49706.0,51248.0,51037.0,52724.0,,,,46585.0,48154.0,,22,weekly
2857,United States,2020-06-07,14.82,19.46,21.72,15.62,6.86,58833.0,51240.8,49743.0,49914.0,51412.0,51998.0,53137.0,,,,46966.0,47743.0,,23,weekly
2858,United States,2020-06-14,14.2,18.89,22.05,14.76,6.14,57972.0,50764.6,49101.0,49906.0,50790.0,51383.0,52643.0,,,,46523.0,47710.0,,24,weekly
2859,United States,2020-06-21,14.4,18.26,22.81,16.71,5.2,57930.0,50637.8,49053.0,49617.0,51190.0,51043.0,52286.0,,,,46442.0,47529.0,,25,weekly
2860,United States,2020-06-28,15.65,19.61,22.79,17.66,7.73,58431.0,50523.4,49207.0,49743.0,50611.0,50851.0,52205.0,,,,46370.0,47334.0,,26,weekly
2861,United States,2020-07-05,17.81,21.29,26.53,19.11,9.26,59751.0,50716.2,48908.0,49695.0,50956.0,51681.0,52341.0,,,,46628.0,47234.0,,27,weekly
2862,United States,2020-07-12,22.76,29.01,34.5,22.99,11.06,61855.0,50387.6,49220.0,49632.0,49971.0,51188.0,51927.0,,,,45762.0,47284.0,,28,weekly
2863,United States,2020-07-19,26.1,30.18,36.35,28.57,16.23,63093.0,50034.4,48538.0,49266.0,50118.0,50604.0,51646.0,,,,46127.0,47085.0,,29,weekly
2864,United States,2020-07-26,28.71,30.57,41.21,33.59,17.36,64157.0,49845.6,48256.0,49690.0,49359.0,50267.0,51656.0,,,,46170.0,47114.0,,30,weekly
2865,United States,2020-08-02,28.59,29.64,41.8,34.15,17.2,64129.0,49870.0,47728.0,49501.0,50084.0,50633.0,51404.0,,,,46137.0,46928.0,,31,weekly
2866,United States,2020-08-09,26.94,28.17,38.65,33.28,15.44,63633.0,50128.0,47972.0,49734.0,50229.0,50963.0,51742.0,,,,46001.0,46876.0,,32,weekly
2867,United States,2020-08-16,27.21,29.28,39.21,32.23,16.11,63538.0,49946.4,48430.0,49806.0,50184.0,50295.0,51017.0,,,,45822.0,46633.0,,33,weekly
2868,United States,2020-08-23,25.42,25.47,37.77,30.17,16.02,62451.0,49794.4,48487.0,49502.0,49513.0,50453.0,51017.0,,,,45999.0,46623.0,,34,weekly
